no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,required_car_parking_space,lead_time,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,no_of_special_requests,booking_status
2,0,2,1,0,55,0,0,0,0,0
2,0,0,2,0,6,0,0,0,2,1
2,1,2,1,0,6,0,0,0,2,1
2,0,1,2,0,80,0,0,0,1,0
2,0,0,4,0,33,0,0,0,0,0
2,0,2,3,0,48,0,0,0,0,1
1,0,0,2,0,192,0,0,0,0,1
1,0,0,1,0,1,0,0,0,0,1
2,0,2,3,0,212,0,0,0,0,1
2,0,0,2,0,79,0,0,0,1,0
2,0,1,5,0,20,0,0,0,0,1
2,0,0,1,0,83,0,0,0,0,1
1,0,2,1,0,116,0,0,0,0,0
2,0,2,2,0,128,0,0,0,1,1
2,0,0,3,0,1,0,0,0,0,1
2,0,0,1,0,21,0,0,0,1,1
2,0,0,4,0,88,0,0,0,3,1
2,0,1,1,0,3,0,0,0,1,1
2,0,2,3,0,192,0,0,0,0,0
2,1,1,3,0,207,0,0,0,1,0
1,0,1,0,0,12,1,0,7,1,1
2,0,0,3,0,45,0,0,0,2,1
1,0,0,1,0,36,0,0,0,0,0
1,0,0,4,0,259,0,0,0,1,1
3,0,0,1,0,102,0,0,0,0,1
2,0,1,2,0,161,0,0,0,0,1
3,0,0,2,0,15,0,0,0,0,0
2,0,1,2,0,14,0,0,0,1,1
2,0,1,3,0,322,0,0,0,0,0
1,0,0,1,0,17,0,0,0,2,1
1,0,2,2,0,3,0,0,0,0,1
2,0,0,2,1,33,0,0,0,0,1
2,0,1,2,0,418,0,0,0,0,0
2,0,0,2,0,16,0,0,0,0,1
1,0,0,2,0,12,0,0,0,0,1
2,0,0,1,0,100,0,0,0,0,0
2,0,0,1,0,2,0,0,0,1,1
1,0,0,1,0,2,0,0,0,0,1
2,0,1,0,0,33,0,0,0,1,1
1,0,2,1,0,23,0,0,0,1,0
2,0,0,1,0,19,0,0,0,1,1
1,0,0,2,0,188,0,0,0,0,0
2,1,1,2,1,8,1,0,1,2,1
2,0,0,3,0,59,0,0,0,2,1
2,0,0,3,0,35,0,0,0,1,1
2,0,1,0,0,4,0,0,0,0,1
1,0,0,2,0,1,1,0,1,0,1
2,0,0,1,0,5,0,0,0,1,1
2,0,1,3,0,7,0,0,0,1,1
2,0,2,2,0,18,0,0,0,0,1
2,0,2,2,0,99,0,0,0,0,0
2,0,0,3,0,104,0,0,0,0,1
2,0,1,2,0,233,0,0,0,0,0
2,0,1,3,0,16,0,0,0,0,1
1,0,1,2,0,45,0,0,0,0,1
2,0,0,3,0,67,0,0,0,1,1
1,0,0,2,0,6,1,0,4,0,1
1,0,1,2,0,60,0,0,0,0,0
2,0,1,2,0,121,0,0,0,0,0
2,0,0,2,0,4,0,0,0,0,0
3,0,0,1,0,95,0,0,0,0,0
2,0,0,2,0,102,0,0,0,0,1
2,0,2,2,0,39,0,0,0,0,1
1,0,2,2,0,31,0,0,0,1,0
1,0,1,0,0,24,0,0,0,0,1
2,0,1,1,0,3,0,0,0,0,1
2,0,1,2,0,60,0,0,0,2,1
2,0,1,2,0,305,0,0,0,0,0
2,0,1,2,0,18,0,0,0,0,0
2,0,1,1,1,21,0,0,0,2,1
1,0,0,3,0,71,0,0,0,0,1
3,0,0,4,0,64,0,0,0,0,0
2,0,1,2,0,25,0,0,0,0,1
2,0,2,2,0,23,0,0,0,2,1
3,0,2,2,1,173,0,0,0,2,0
2,0,0,2,0,185,0,0,0,2,0
1,0,0,3,0,37,0,0,0,0,1
2,0,1,2,0,21,0,0,0,0,0
2,0,0,4,1,12,0,0,0,0,1
2,0,0,1,0,14,0,0,0,1,1
1,0,2,4,0,69,0,0,0,0,0
2,0,2,3,0,88,0,0,0,1,1
1,0,0,1,0,47,0,0,0,0,0
2,0,1,3,0,157,0,0,0,2,0
2,0,1,2,0,114,0,0,0,0,0
1,0,2,2,0,2,0,0,0,0,1
3,0,2,0,0,65,0,0,0,2,1
1,0,0,2,0,88,0,0,0,1,1
2,0,0,2,0,225,0,0,0,0,0
2,0,1,1,0,301,0,0,0,1,0
2,0,1,2,0,155,0,0,0,2,1
3,0,0,3,0,80,0,0,0,1,1
2,0,0,3,0,192,0,0,0,0,1
2,0,2,4,0,24,0,0,0,1,1
2,0,0,3,0,71,0,0,0,0,1
2,0,2,3,0,303,0,0,0,0,0
1,0,4,9,0,32,0,0,0,1,0
2,0,2,1,0,32,0,0,0,0,0
2,0,1,0,0,40,0,0,0,0,1
2,0,2,2,0,57,0,0,0,1,1
2,0,1,2,0,46,0,0,0,0,0
2,0,2,2,0,110,0,0,0,0,1
3,0,1,1,0,33,0,0,0,0,1
2,0,2,2,0,196,0,0,0,1,1
2,2,1,3,0,8,0,0,0,0,0
2,0,1,0,0,30,0,0,0,1,1
2,0,2,4,0,28,0,0,0,0,0
2,0,1,0,0,49,0,0,0,0,0
2,0,2,1,0,229,0,0,0,0,0
2,0,2,2,0,6,0,0,0,1,1
2,0,1,2,0,280,0,0,0,0,0
2,0,2,3,0,192,0,0,0,0,0
2,0,2,5,0,164,0,0,0,1,0
2,0,0,2,0,320,0,0,0,1,0
3,0,0,4,0,109,0,0,0,0,0
2,0,2,1,0,55,0,0,0,1,1
2,0,2,1,0,2,0,0,0,1,1
2,0,0,3,0,105,0,0,0,0,1
2,0,4,6,0,207,0,0,0,0,1
2,0,2,2,0,74,0,0,0,1,1
2,0,1,1,0,188,0,0,0,0,0
2,1,2,0,0,14,0,0,0,2,1
2,0,1,1,0,275,0,0,0,0,0
1,0,0,3,0,4,1,1,2,1,1
2,0,0,1,0,181,0,0,0,1,0
2,0,0,3,0,73,0,0,0,1,1
2,0,0,3,0,1,0,0,0,0,1
2,0,2,2,0,17,0,0,0,1,1
2,0,0,2,0,76,0,0,0,1,1
3,0,2,1,0,26,0,0,0,0,0
3,0,1,2,0,165,0,0,0,0,0
2,0,0,2,0,39,0,0,0,0,1
2,0,0,3,0,237,0,0,0,0,0
2,0,2,2,0,107,0,0,0,0,1
1,0,1,1,0,0,0,0,0,0,1
2,0,2,4,0,137,0,0,0,1,1
2,0,0,1,0,4,0,0,0,1,1
2,0,0,4,0,120,0,0,0,0,0
2,0,0,3,0,95,0,0,0,1,1
2,1,2,1,0,69,0,0,0,0,1
2,0,1,2,0,66,0,0,0,0,0
1,0,1,1,0,88,0,0,0,0,1
2,0,0,2,0,86,0,0,0,0,1
2,0,2,3,0,86,0,0,0,1,1
2,0,0,5,0,140,0,0,0,0,1
3,0,1,2,0,161,0,0,0,0,0
2,0,1,4,0,34,0,0,0,0,0
2,0,0,1,0,10,0,0,0,1,1
2,0,0,3,0,76,0,0,0,0,1
2,0,1,3,0,76,0,0,0,1,1
2,0,0,4,0,62,0,0,0,1,0
2,0,0,2,0,11,0,0,0,1,1
2,0,0,1,0,53,0,0,0,2,1
2,0,2,1,0,94,0,0,0,2,1
2,0,1,5,0,32,0,0,0,0,1
2,0,0,0,0,346,0,0,0,1,1
2,0,0,2,0,301,0,0,0,0,0
3,0,1,0,0,36,0,0,0,2,1
1,0,0,1,0,1,0,0,0,0,1
2,1,0,4,0,106,0,0,0,1,1
2,0,1,3,0,322,0,0,0,0,0
1,9,2,1,0,11,0,0,0,0,1
2,0,0,1,0,4,0,0,0,1,1
2,0,2,1,0,11,0,0,0,1,1
2,1,2,3,0,207,0,0,0,3,1
1,0,2,1,0,220,0,0,0,0,0
3,0,0,3,0,132,0,0,0,2,1
1,0,1,1,0,82,0,0,0,1,1
2,1,2,2,0,52,0,0,0,3,1
2,0,0,1,0,0,0,0,0,0,1
1,0,2,8,0,51,0,0,0,1,0
2,0,2,4,0,15,0,0,0,0,0
2,0,0,3,0,128,0,0,0,0,1
2,0,0,4,0,159,0,0,0,2,1
1,0,1,3,0,92,0,0,0,2,0
1,0,0,1,0,16,0,0,0,1,1
3,0,1,4,0,71,0,0,0,0,0
2,0,1,1,0,97,0,0,0,0,1
1,0,1,0,0,263,0,0,0,0,1
2,0,0,5,0,36,0,0,0,1,1
1,0,0,3,0,206,0,0,0,1,0
2,9,2,5,0,8,0,0,0,1,0
2,0,0,1,0,0,0,0,0,0,1
2,2,1,1,0,217,0,0,0,1,0
1,0,4,5,0,2,0,0,0,1,0
1,0,1,0,0,77,0,0,0,2,1
1,0,0,1,0,28,0,0,0,1,1
2,0,0,4,0,296,0,0,0,1,0
2,0,2,1,0,20,0,0,0,2,1
2,0,0,4,0,2,0,0,0,1,1
1,0,2,2,0,62,0,0,0,1,0
2,0,0,2,0,94,0,0,0,1,0
3,0,2,1,0,6,0,0,0,1,1
2,0,2,3,0,183,0,0,0,1,0
2,0,3,5,0,213,0,0,0,0,0
1,0,1,0,0,15,0,0,0,0,0
2,0,1,3,0,42,0,0,0,1,1
3,0,2,5,0,77,0,0,0,2,1
1,0,1,0,0,164,0,0,0,0,0
2,0,1,3,0,79,0,0,0,1,0
2,0,0,3,1,87,0,0,0,1,1
2,0,0,2,0,19,0,0,0,0,0
1,0,0,1,0,36,0,0,0,2,1
1,0,0,2,0,1,0,0,0,0,1
2,0,0,2,0,22,0,0,0,0,0
3,0,2,2,0,92,0,0,0,2,1
3,0,1,2,0,80,0,0,0,2,1
1,0,1,1,0,44,0,0,0,0,0
3,0,0,4,0,55,0,0,0,1,1
2,0,1,2,0,57,0,0,0,1,1
2,1,2,2,0,30,0,0,0,0,0
1,0,1,2,0,256,0,0,0,0,1
2,1,0,1,0,1,0,0,0,2,1
3,0,0,2,0,29,0,0,0,3,1
2,0,0,2,0,51,0,0,0,1,0
2,0,0,3,0,144,0,0,0,2,1
1,0,0,3,0,37,0,0,0,0,1
2,0,0,3,0,5,0,0,0,0,0
1,0,0,1,0,23,0,0,0,2,1
2,0,2,2,0,107,0,0,0,0,1
2,0,0,1,0,5,0,0,0,1,1
2,0,1,2,0,3,0,0,0,0,1
2,0,0,2,0,119,0,0,0,0,0
2,0,0,2,0,23,0,0,0,2,1
2,0,0,2,0,3,0,0,0,2,1
1,0,0,3,0,204,0,0,0,0,0
2,0,2,1,0,15,0,0,0,2,1
2,0,0,5,0,22,0,0,0,0,1
2,0,2,1,0,31,0,0,0,0,1
2,0,0,2,0,31,0,0,0,2,1
3,0,0,3,1,135,0,0,0,1,1
3,0,0,2,0,30,0,0,0,0,1
2,0,2,2,0,22,0,0,0,2,1
2,0,1,1,0,127,0,0,0,1,1
2,0,2,1,0,98,0,0,0,1,1
2,0,0,2,0,23,0,0,0,2,1
1,0,2,1,0,282,0,0,0,0,1
1,0,0,2,0,164,0,0,0,1,1
2,0,1,3,0,100,0,0,0,1,1
2,0,2,2,0,16,0,0,0,2,1
2,0,0,4,1,22,0,0,0,2,1
2,0,0,3,0,304,0,0,0,0,0
1,0,0,1,0,2,0,0,0,0,1
2,0,1,2,0,280,0,0,0,0,0
2,0,1,2,0,15,0,0,0,1,1
1,0,1,3,0,79,0,0,0,0,0
2,0,0,2,0,292,0,0,0,0,0
2,0,1,2,0,5,0,0,0,0,1
2,0,0,2,0,35,0,0,0,0,0
1,0,2,2,0,76,0,0,0,0,0
2,0,0,1,0,143,0,0,0,2,1
2,0,2,4,0,56,0,0,0,0,0
2,0,0,2,0,0,0,0,0,0,1
3,0,0,5,0,42,0,0,0,0,1
1,0,1,1,0,21,1,0,3,0,1
2,0,2,5,0,54,0,0,0,0,1
2,0,0,3,0,44,0,0,0,0,1
2,0,0,1,0,3,0,0,0,2,1
2,0,0,3,0,9,0,0,0,0,1
2,0,0,3,0,279,0,0,0,0,0
2,0,0,3,0,58,0,0,0,0,1
2,0,0,5,0,128,0,0,0,1,1
1,0,2,4,0,69,0,0,0,0,0
2,0,0,1,1,4,0,0,0,2,1
1,0,1,0,0,0,0,0,0,1,1
2,0,1,2,0,105,0,0,0,0,0
3,0,0,4,0,73,0,0,0,0,0
2,0,0,2,0,22,0,0,0,0,1
2,0,2,3,0,276,0,0,0,0,0
2,0,0,2,0,104,0,0,0,2,1
2,0,0,1,0,37,0,0,0,0,0
2,1,1,0,0,87,0,0,0,0,0
2,0,0,2,0,56,0,0,0,0,1
2,1,0,3,0,26,0,0,0,1,1
1,0,0,1,0,9,0,0,0,0,1
1,0,1,2,0,219,0,0,0,0,1
1,0,0,1,0,1,0,0,0,1,1
2,0,0,2,0,34,0,0,0,1,1
1,0,1,1,0,4,1,1,14,1,1
2,1,0,2,0,1,0,0,0,1,1
2,0,2,2,0,204,0,0,0,0,1
3,0,1,5,0,179,0,0,0,0,0
2,0,0,3,0,28,0,0,0,1,0
2,0,2,1,0,26,0,0,0,2,1
2,0,2,2,0,126,0,0,0,1,1
2,0,2,1,0,205,0,0,0,0,0
2,0,0,2,0,346,0,0,0,1,0
3,0,4,5,0,167,0,0,0,2,1
2,0,0,3,0,338,0,0,0,0,0
2,0,0,1,0,80,0,0,0,0,1
2,0,0,3,0,46,0,0,0,1,1
1,0,1,3,0,27,0,0,0,1,1
3,0,1,3,0,98,0,0,0,0,1
2,0,2,2,0,175,0,0,0,1,0
2,0,1,2,0,193,0,0,0,0,0
2,1,0,1,0,0,0,0,0,0,1
2,0,0,2,0,74,0,0,0,0,1
2,0,1,1,0,90,0,0,0,0,1
2,0,2,1,0,38,0,0,0,1,1
2,0,1,2,0,31,0,0,0,1,1
2,0,2,3,0,166,0,0,0,2,1
2,2,1,3,0,81,0,0,0,1,1
1,0,2,4,0,37,0,0,0,0,0
2,0,2,1,0,18,0,0,0,0,1
2,2,0,1,0,4,0,0,0,1,1
2,0,1,2,0,94,0,0,0,0,0
1,0,0,3,0,11,0,0,0,0,1
2,1,0,1,1,0,0,0,0,2,1
1,0,0,3,0,28,0,0,0,1,1
1,0,1,2,0,19,1,1,5,0,1
2,2,1,3,0,85,0,0,0,0,0
2,0,1,2,0,132,0,0,0,0,0
2,0,1,1,0,59,0,0,0,0,1
2,0,1,4,1,83,0,0,0,1,1
2,0,0,1,0,9,0,0,0,0,1
2,0,0,2,0,16,0,0,0,0,1
2,2,1,0,0,73,0,0,0,2,1
2,0,2,3,0,101,0,0,0,0,1
2,0,2,1,0,18,0,0,0,0,0
2,0,0,2,0,265,0,0,0,1,0
2,2,0,1,0,20,0,0,0,3,1
2,0,2,0,0,48,0,0,0,0,0
2,2,2,1,0,0,0,0,0,0,1
2,2,0,2,0,30,0,0,0,1,1
2,0,1,0,0,4,0,0,0,0,1
2,0,2,3,0,228,0,0,0,1,1
2,0,1,3,0,26,0,0,0,1,1
2,0,0,2,0,94,0,0,0,1,1
2,0,2,1,0,145,0,0,0,0,1
3,0,0,5,0,107,0,0,0,2,1
2,0,0,1,0,289,0,0,0,0,1
3,0,3,8,0,34,0,0,0,1,0
2,0,1,2,0,78,0,0,0,0,0
1,0,1,1,0,33,0,0,0,0,1
1,1,2,1,0,117,0,0,0,1,1
3,0,2,1,0,13,0,0,0,2,1
2,0,0,2,0,49,0,0,0,0,1
2,0,1,2,0,290,0,0,0,0,0
1,0,0,2,0,39,0,0,0,0,1
2,0,0,1,0,10,0,0,0,1,1
2,0,0,1,0,4,0,0,0,1,0
2,0,1,4,0,336,0,0,0,0,1
1,0,0,3,0,166,0,0,0,0,0
2,0,0,3,0,44,0,0,0,0,1
2,0,0,1,1,11,0,0,0,1,1
2,0,0,4,0,183,0,0,0,2,0
2,0,2,1,0,6,0,0,0,2,1
2,0,1,2,1,2,0,0,0,1,1
2,0,0,2,0,1,0,0,0,0,1
1,0,2,1,0,1,0,0,0,0,0
1,0,1,2,0,10,0,0,0,2,1
3,1,0,3,0,13,0,0,0,2,1
2,0,1,2,0,87,0,0,0,0,0
2,0,1,3,0,259,0,0,0,0,0
1,0,0,1,0,22,0,0,0,1,1
2,0,2,5,0,134,0,0,0,1,1
2,2,2,2,0,151,0,0,0,2,0
2,2,2,2,1,141,0,0,0,1,1
2,0,2,3,0,74,0,0,0,1,1
2,0,1,0,0,27,0,0,0,2,1
2,0,0,1,0,158,0,0,0,0,0
2,0,1,2,0,234,0,0,0,1,0
2,0,0,1,0,16,0,0,0,0,1
2,0,0,3,0,47,0,0,0,0,0
1,0,0,1,0,0,0,0,0,1,1
1,0,0,1,0,20,0,0,0,0,1
2,0,0,4,0,37,0,0,0,1,1
2,0,0,3,0,304,0,0,0,0,0
1,0,0,2,1,9,0,0,0,0,1
2,0,2,3,0,86,0,0,0,1,0
2,0,1,2,0,192,0,0,0,0,1
2,0,2,5,0,40,0,0,0,0,0
2,0,0,2,0,211,0,0,0,0,0
1,0,2,1,0,116,0,0,0,0,1
2,2,2,5,0,41,0,0,0,1,1
3,0,2,4,0,19,0,0,0,1,0
1,0,0,1,0,0,0,0,0,0,1
2,0,0,2,0,74,0,0,0,0,1
2,0,0,1,0,65,0,0,0,1,1
2,0,2,1,0,95,0,0,0,2,1
3,0,2,3,0,19,0,0,0,0,0
2,0,1,3,0,123,0,0,0,1,0
3,0,2,5,0,124,0,0,0,0,1
2,1,1,3,0,30,0,0,0,1,1
1,0,0,1,0,164,0,0,0,0,1
2,0,0,5,0,140,0,0,0,0,1
1,0,0,3,0,19,1,1,0,0,1
2,0,0,1,0,0,0,0,0,1,1
2,0,0,2,0,102,0,0,0,0,1
2,0,1,5,0,94,0,0,0,0,0
2,0,0,3,0,42,0,0,0,3,1
1,0,2,2,0,24,0,0,0,1,1
1,0,1,1,0,32,0,0,0,0,1
2,0,0,2,0,86,0,0,0,0,0
3,0,2,2,0,26,0,0,0,1,1
2,0,2,3,0,221,0,0,0,2,1
2,1,0,2,0,11,0,0,0,2,1
1,0,0,3,0,16,0,0,0,0,1
2,0,2,2,0,68,0,0,0,2,1
2,0,2,3,0,182,0,0,0,2,1
1,0,0,3,0,70,0,0,0,0,1
2,0,1,1,0,1,0,0,0,1,1
1,0,0,2,0,19,0,0,0,1,1
2,0,2,2,0,11,0,0,0,0,1
2,0,0,4,0,7,0,0,0,0,1
1,0,0,4,0,14,0,0,0,0,1
2,0,2,1,0,5,0,0,0,0,1
2,0,2,2,0,24,0,0,0,1,1
1,0,0,2,0,102,0,0,0,0,0
1,0,0,2,0,192,0,0,0,0,1
1,0,1,1,0,0,0,0,0,0,1
2,0,1,0,0,50,0,0,0,1,1
1,0,0,2,0,292,0,0,0,0,1
2,0,1,3,0,63,0,0,0,1,1
3,0,2,3,0,29,0,0,0,2,1
1,0,1,2,0,237,0,0,0,0,0
2,0,0,3,0,183,0,0,0,1,0
2,0,1,1,0,247,0,0,0,0,0
2,0,0,2,0,38,0,0,0,1,0
3,0,2,6,0,131,0,0,0,0,0
1,0,0,2,1,1,0,0,0,1,1
2,0,0,3,0,6,0,0,0,0,1
2,0,1,3,0,221,0,0,0,1,0
2,0,0,3,0,8,0,0,0,1,1
2,0,0,2,0,72,0,0,0,1,0
2,0,2,0,0,386,0,0,0,1,0
3,0,1,4,0,159,0,0,0,1,0
2,0,0,1,0,55,0,0,0,1,1
2,0,2,2,0,243,0,0,0,3,1
2,0,1,2,1,90,0,0,0,1,1
2,0,2,0,0,275,0,0,0,0,0
2,0,0,2,0,18,0,0,0,1,1
2,0,2,1,0,139,0,0,0,1,1
2,2,2,1,1,229,0,0,0,2,0
2,0,0,1,0,65,0,0,0,0,1
2,0,0,2,1,7,0,0,0,1,1
2,0,2,3,0,70,0,0,0,2,1
2,0,1,1,0,275,0,0,0,0,0
2,0,0,2,0,257,0,0,0,0,0
2,0,0,4,0,247,0,0,0,1,0
2,0,1,2,0,200,0,0,0,3,1
1,0,0,2,0,46,0,0,0,0,1
2,0,0,2,0,31,0,0,0,1,1
2,0,1,2,0,38,0,0,0,0,0
2,0,0,3,0,37,0,0,0,0,1
2,0,1,1,0,38,0,0,0,1,1
2,0,0,1,0,1,0,0,0,0,1
1,0,0,4,0,13,0,0,0,0,1
1,0,2,3,0,192,0,0,0,0,1
2,0,1,1,0,123,0,0,0,3,1
2,0,2,2,0,86,0,0,0,1,1
2,0,0,3,0,37,0,0,0,0,1
2,0,1,3,0,81,0,0,0,1,1
1,0,0,2,0,181,0,0,0,0,0
2,0,2,1,0,124,0,0,0,0,0
2,0,2,2,0,179,0,0,0,0,0
2,0,1,3,0,0,0,0,0,1,1
2,0,0,2,0,298,0,0,0,0,1
1,0,0,3,0,4,0,0,0,1,1
3,0,2,3,0,90,0,0,0,1,1
3,0,1,4,0,64,0,0,0,1,1
2,0,2,2,0,96,0,0,0,0,1
3,0,2,6,0,186,0,0,0,2,0
2,0,2,4,0,164,0,0,0,3,1
3,0,0,1,0,54,0,0,0,2,1
2,0,2,4,0,7,0,0,0,1,1
2,0,2,0,0,14,0,0,0,1,0
2,0,2,3,0,103,0,0,0,1,1
2,0,0,3,0,40,0,0,0,1,1
2,0,0,1,0,2,0,0,0,0,1
2,0,1,3,0,3,0,0,0,1,1
2,0,0,2,0,29,0,0,0,3,1
2,0,1,1,0,247,0,0,0,1,0
2,0,0,2,0,17,0,0,0,1,1
3,0,1,0,0,45,0,0,0,1,1
2,0,0,2,0,256,0,0,0,1,0
2,0,1,2,0,111,0,0,0,2,0
2,0,0,2,0,245,0,0,0,0,0
2,0,0,1,0,45,0,0,0,0,0
2,0,1,3,0,70,0,0,0,2,1
1,0,0,2,0,63,0,0,0,0,1
2,0,1,2,0,112,0,0,0,0,1
1,0,0,2,0,16,0,0,0,0,1
2,0,0,3,0,34,0,0,0,0,0
3,0,2,0,0,13,0,0,0,1,1
2,0,1,2,0,273,0,0,0,0,0
2,0,0,3,0,104,0,0,0,0,1
1,0,2,2,0,5,0,0,0,0,0
2,0,0,3,0,66,0,0,0,0,0
2,0,1,3,0,61,0,0,0,2,1
2,0,0,2,0,30,0,0,0,0,1
2,0,1,0,0,258,0,0,0,0,0
2,0,0,4,0,96,0,0,0,1,1
2,0,0,1,0,31,0,0,0,0,0
2,1,1,3,0,50,0,0,0,0,0
1,0,0,2,0,32,0,0,0,1,1
2,0,0,2,0,102,0,0,0,0,0
2,0,0,2,0,37,0,0,0,0,1
2,0,0,4,0,112,0,0,0,0,0
2,0,1,3,0,322,0,0,0,0,0
2,0,1,1,0,39,0,0,0,0,0
2,0,2,3,0,290,0,0,0,0,0
1,0,0,3,0,28,0,0,0,1,1
1,0,2,3,0,269,0,0,0,0,1
2,0,2,2,0,99,0,0,0,0,0
2,0,0,3,0,130,0,0,0,2,0
2,0,0,1,0,170,0,0,0,2,1
2,0,0,4,0,109,0,0,0,0,0
2,0,1,5,0,135,0,0,0,0,1
2,0,1,1,0,44,0,0,0,0,1
1,0,2,1,0,4,0,0,0,0,1
1,0,0,3,0,16,0,0,0,1,1
1,0,0,1,0,0,1,0,1,0,1
1,0,0,3,0,15,0,0,0,2,1
3,0,1,3,0,134,0,0,0,0,0
2,2,2,9,0,252,0,0,0,2,0
1,0,1,1,0,118,0,0,0,0,1
2,0,1,0,0,96,0,0,0,0,1
1,0,0,3,0,166,0,0,0,0,0
2,0,2,3,0,71,0,0,0,0,0
2,0,0,2,0,39,0,0,0,0,1
2,0,1,4,0,148,0,0,0,0,1
3,0,1,1,0,32,0,0,0,1,1
2,0,0,1,0,44,0,0,0,1,1
1,0,0,1,0,0,0,0,0,0,1
2,0,1,0,0,0,0,0,0,0,1
2,0,0,4,0,259,0,0,0,1,1
3,0,2,2,0,66,0,0,0,0,0
2,2,0,4,0,3,0,0,0,1,1
2,0,0,2,0,68,0,0,0,1,1
2,0,2,0,1,4,0,0,0,1,1
2,0,2,1,0,131,0,0,0,0,0
2,0,0,1,0,64,0,0,0,1,1
2,0,0,2,0,0,0,0,0,0,1
2,0,0,2,0,346,0,0,0,1,0
2,0,0,3,0,304,0,0,0,0,0
2,0,2,5,0,35,0,0,0,0,0
2,0,1,2,0,110,0,0,0,1,1
1,0,0,3,0,71,0,0,0,0,1
2,0,2,1,0,145,0,0,0,2,0
3,0,1,1,0,36,0,0,0,1,0
2,0,2,1,0,109,0,0,0,0,1
2,0,1,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,0,0,1,1
1,0,0,0,0,0,1,1,5,0,1
2,0,2,0,0,27,0,0,0,2,1
2,0,1,2,0,4,0,0,0,0,1
1,0,2,2,0,116,0,0,0,0,0
2,0,0,3,1,157,0,0,0,1,0
2,0,0,2,0,18,0,0,0,1,1
2,0,1,3,0,42,0,0,0,0,1
1,0,0,2,0,192,0,0,0,0,1
2,0,2,3,1,77,0,0,0,1,1
2,0,0,2,0,256,0,0,0,1,0
2,1,0,3,0,1,0,0,0,3,1
2,0,0,3,0,182,0,0,0,0,0
2,0,0,2,0,59,0,0,0,2,1
2,0,0,1,0,53,0,0,0,1,1
3,0,0,3,0,165,0,0,0,0,0
2,2,0,1,0,0,0,0,0,1,0
2,0,0,2,0,256,0,0,0,1,0
1,0,0,2,0,164,0,0,0,0,1
2,0,2,2,0,38,0,0,0,2,1
2,0,0,3,0,64,0,0,0,0,1
2,0,1,5,0,32,0,0,0,0,1
2,0,0,2,0,58,0,0,0,1,1
2,0,1,3,0,9,0,0,0,1,1
2,0,0,2,0,80,0,0,0,1,1
2,0,0,4,0,62,0,0,0,1,1
2,0,0,1,0,3,0,0,0,1,1
1,0,2,0,0,24,0,0,0,0,0
1,0,2,1,0,93,0,0,0,0,0
1,0,0,1,0,5,0,0,0,0,1
2,1,2,6,0,2,0,0,0,2,1
2,0,0,1,0,0,0,0,0,1,1
2,0,0,1,0,5,0,0,0,1,0
1,0,0,1,0,1,0,0,0,0,1
2,0,0,1,0,0,0,0,0,1,1
2,1,1,3,0,48,0,0,0,0,1
2,0,1,4,0,4,0,0,0,1,1
1,0,0,3,0,166,0,0,0,0,0
2,0,1,3,0,38,0,0,0,1,1
2,0,0,3,0,28,0,0,0,2,1
2,0,0,2,0,188,0,0,0,1,0
2,0,1,2,0,42,0,0,0,0,1
3,0,2,1,0,220,0,0,0,1,0
2,0,2,2,0,91,0,0,0,1,0
2,0,2,6,0,34,0,0,0,2,1
1,0,0,4,0,43,0,0,0,3,1
2,1,1,1,0,101,0,0,0,1,1
2,0,1,2,0,133,0,0,0,0,0
2,0,0,3,0,150,0,0,0,0,0
2,0,2,6,0,195,0,0,0,1,1
1,0,0,2,0,377,0,0,0,0,1
2,0,2,5,0,107,0,0,0,1,1
1,0,1,1,0,17,0,0,0,0,0
2,0,0,3,0,28,0,0,0,0,1
1,0,0,1,0,5,0,0,0,0,1
2,0,1,0,0,57,0,0,0,1,1
2,0,0,3,0,12,0,0,0,1,1
2,0,0,1,0,1,0,0,0,2,1
2,0,0,3,0,3,0,0,0,1,1
1,0,2,3,0,15,0,0,0,0,1
2,0,1,1,0,35,0,0,0,1,1
2,0,1,4,0,34,0,0,0,1,1
2,0,0,2,0,68,0,0,0,0,1
2,0,1,0,0,82,0,0,0,1,1
2,0,0,3,0,36,0,0,0,0,0
2,0,2,2,0,48,0,0,0,2,1
2,0,2,0,0,25,0,0,0,0,0
2,0,2,2,0,37,0,0,0,1,1
2,0,0,1,0,0,0,0,0,1,1
2,1,0,1,0,13,0,0,0,2,1
2,0,1,2,0,0,0,0,0,0,1
1,0,0,1,0,24,0,0,0,2,1
2,1,0,1,0,162,0,0,0,2,0
1,0,0,1,0,7,0,0,0,3,1
3,0,1,4,0,122,0,0,0,2,1
2,0,1,1,0,128,0,0,0,0,0
2,0,1,2,0,115,0,0,0,1,1
2,0,1,5,0,94,0,0,0,1,1
2,0,0,3,0,276,0,0,0,0,0
3,0,0,4,0,22,0,0,0,3,1
1,0,1,2,0,3,1,0,9,0,1
2,0,0,2,1,25,0,0,0,1,1
1,0,0,5,0,22,0,0,0,1,1
2,0,1,3,0,24,0,0,0,0,1
2,0,1,4,0,187,0,0,0,2,0
2,2,1,1,0,19,0,0,0,1,1
2,0,2,1,0,148,0,0,0,0,0
2,0,0,2,0,26,0,0,0,2,1
