"Specific Bean Origin
or Bar Name","Cocoa
Percent","Company
Location",Rating
Terreiro Velho P.,80.0,Spain,3.25
Ben Tre,70.0,France,3.25
Ham Luong,80.0,France,3.0
Ba Lai,74.0,France,3.25
Rio Caribe,70.0,U.S.A.,2.75
Guapiles,65.0,U.S.A.,2.0
Carenero Superior,81.0,U.S.A.,3.5
"Carenero, Guapiles, Ocumare blend",74.0,U.S.A.,2.75
Ocumare,72.0,U.S.A.,3.0
"Peru, Madagascar",55.0,U.S.A.,2.5
Trinidad,55.0,U.S.A.,2.5
Porcelana,70.0,U.S.A.,2.5
Red Vanilla,62.0,U.S.A.,2.75
"Venezuela, Trinidad",62.0,U.S.A.,2.5
Belize,80.0,U.S.A.,3.0
Ecuador,80.0,U.S.A.,3.5
Dominican Republic,80.0,U.S.A.,3.75
"Monte Alegre, D. Badaro, Raw, Organic",75.0,U.S.A.,2.75
Blue Mountain,76.0,Portugal,3.0
Cuyagua,76.0,Portugal,2.5
Maya Mountain,76.0,Portugal,2.75
Grenada,58.0,Switzerland,3.5
Supremo- SF,62.0,Switzerland,2.0
Elvesia P.,74.0,Switzerland,3.0
"Madagascar, Grand Cru",64.0,Switzerland,3.0
Maracaibo Clasificado,65.0,Switzerland,3.0
Arriba,72.0,Switzerland,3.5
"Alto Beni, Cru Savage",68.0,Switzerland,4.0
Puerto Rico,65.0,U.S.A.,2.25
Dominican Republic,80.0,U.S.A.,3.0
Dominican Republic,70.0,U.S.A.,3.25
Dominican Republic,85.0,U.S.A.,2.5
Rio Eni,72.0,U.K.,2.75
Dominican Republic,70.0,Puerto Rico,2.75
Puerto Rico,80.0,Puerto Rico,2.75
"Akesson's E., Sambirano V.",70.0,Singapore,2.75
"Camino Verde P., Balao, Guayas",75.0,Singapore,3.5
"Kokoa Kamili Coop, Kilombero",67.0,Singapore,3.75
Choroni,70.0,Venezuela,3.5
Ocumare,70.0,Venezuela,3.75
Canoabo,70.0,Venezuela,3.75
Sur del Lago,60.0,Venezuela,3.5
Costa Rica,70.0,Belgium,3.5
Peru Brutus,75.0,Belgium,3.5
Vietnam,80.0,Belgium,3.0
Ghana,60.0,Belgium,3.5
Madagascar,65.0,Belgium,3.5
"Norandino, batch 161208",70.0,U.S.A.,3.5
Guatemala,73.0,U.S.A.,3.5
San Andres,80.0,U.S.A.,3.0
Matagalpa,68.0,U.S.A.,3.25
"Palo Blanco, Chulucanas",66.0,U.S.A.,3.5
Tumbes Coop,70.0,U.S.A.,2.5
"Palo Blanco, Chulucanas",61.0,U.S.A.,3.5
"Palo Blanco w/ panela, Chulucanas",81.0,U.S.A.,2.0
"Maranon Canyon, Fortunato No. 4",70.0,U.S.A.,3.5
La Red,65.0,U.S.A.,3.5
"Maranon, #228, MR, SC",70.0,U.S.A.,3.0
"Maranon, #227, LR, MC",70.0,U.S.A.,3.5
"Maranon, #229, MR, LC",70.0,U.S.A.,3.5
"Maranon, #230, DR, LC",70.0,U.S.A.,3.5
"Conacado, #223, MR, SC",72.0,U.S.A.,3.25
"Conacado, #224, MR, MC",72.0,U.S.A.,3.75
"San Martin, Bellavista Coop, #226, DR, MC",70.0,U.S.A.,3.75
"Bellavista Coop, #225, LR, MC, CG Exclusive",70.0,U.S.A.,4.0
"Markham Valley, #219, LR, MC",69.0,U.S.A.,3.5
"Markham Valley, #221, DR, MC",69.0,U.S.A.,3.5
"Sambirano Valley, #216, MR, LC",74.0,U.S.A.,4.0
"Markham Valley, #220, MR, MC",69.0,U.S.A.,4.0
"Markham Valley, #222, LR, 0C",69.0,U.S.A.,3.0
"Ghana, #211, MR, MC",74.0,U.S.A.,2.75
"Jamaica, #209, DR, SC",70.0,U.S.A.,3.25
"Conacado, #212, LR, SC",72.0,U.S.A.,3.5
"Jamaica, #210, DR, MC",70.0,U.S.A.,3.5
"Sambirano Valley, #214, LR, MC",74.0,U.S.A.,2.75
"Conacado, #213, DR, -C",72.0,U.S.A.,3.25
"Sambirano Valley, #215, MR, MC",74.0,U.S.A.,3.0
"Chuao, #218, MR, MC",76.0,U.S.A.,3.25
"Chuao, #217, DR, MC",70.0,U.S.A.,4.0
"Jamaica, #204, DR, SC",80.0,U.S.A.,2.75
"Jamaica, #206, DR, LC",70.0,U.S.A.,3.0
"Jamaica, #205, DR, MC",70.0,U.S.A.,3.25
"Carenero Superior, #203, MR, SC",65.0,U.S.A.,3.5
"Rugoso, Bad Fermentation",70.0,Denmark,3.5
La Dalia,60.0,Denmark,3.0
La Dalia,85.0,Denmark,3.25
La Dalia,70.0,Denmark,3.5
"Barba, Xoco",70.0,Denmark,3.25
"Medagla, Xoco",70.0,Denmark,3.5
"Chuno, triple turned, Xoco",70.0,Denmark,3.25
"Red Mayan, Xoco",70.0,Denmark,3.25
"Chuno, double turned, Xoco",70.0,Denmark,3.25
"Rugoso, Xoco",70.0,Denmark,3.75
"Johe, Xoco",70.0,Denmark,3.25
"Chuno, Xoco",70.0,Denmark,3.5
"Nicaliso, Xoco",70.0,Denmark,3.5
"Wild Bolivian, Batch 2",74.0,U.S.A.,3.75
"Coto Brus, Heirloom, Batch 1",74.0,U.S.A.,4.0
Gran Couva,70.0,U.S.A.,3.75
Maranon,76.0,U.S.A.,3.0
La Red,70.0,U.S.A.,3.75
Camino Verde,75.0,U.S.A.,3.0
Peru,70.0,U.S.A.,2.5
Signature Blend,66.0,U.S.A.,3.25
Costa Rica,70.0,U.S.A.,3.0
"Kaua'I, Alea Estate +world",85.0,U.S.A.,2.5
Akesson P.,65.0,Germany,3.25
ABOCFA Coop,70.0,Germany,4.0
Conacado Coop,70.0,Germany,3.5
Conacado Coop,80.0,Germany,3.5
Akesson P.,75.0,Germany,3.5
"Toledo District, 2015 Harvest",70.0,U.S.A.,3.5
Bahia,66.0,U.S.A.,3.0
"Almendra Blanca, batch 1004",77.0,U.S.A.,2.75
"El Carmen, batch 1003",77.0,U.S.A.,3.25
"Asochivite, batch 1005",77.0,U.S.A.,3.25
"Ben Tre, Dong Nai",72.0,Vietnam,3.0
Dark,70.0,U.K.,2.5
Madagascar,70.0,Japan,3.5
Grenada,82.0,Grenada,3.25
Grenada,60.0,Grenada,2.75
Grenada,71.0,Grenada,2.5
Arriba,64.0,Italy,3.0
Ghana,64.0,Italy,3.0
Trinidad & Tobago,64.0,Italy,3.0
Lacri Blend,76.0,Italy,3.0
Blend,64.0,Italy,3.25
"Epique, Blend No. 49",70.0,U.S.A.,3.75
Haiti,65.0,U.S.A.,2.75
Nicaragua,65.0,U.S.A.,2.75
Jamaica,65.0,U.S.A.,3.25
Ecuador,65.0,U.S.A.,3.5
Coucher du Soleil,72.0,U.S.A.,2.75
Lever du Soleil,61.0,U.S.A.,3.25
Onyx,72.0,U.S.A.,3.25
Trinidad,65.0,U.S.A.,3.0
"O'ahu, N. Shore, Waialua E., Kakoleka",55.0,U.S.A.,3.0
Nocturne,91.0,U.S.A.,3.0
Complexite,70.0,U.S.A.,3.5
Machu Pichu,65.0,U.S.A.,3.0
Special Maker Reserve,64.0,U.S.A.,3.0
Ocumare,65.0,U.S.A.,3.5
Quetzalcoatl,72.0,U.S.A.,3.5
Chucuri,65.0,U.S.A.,3.0
Sur del Lago,65.0,U.S.A.,2.5
"Sambirano, Ambanja",65.0,U.S.A.,3.5
"Los Rios, Quevedo",65.0,U.S.A.,3.5
Tsaranta,61.0,U.S.A.,3.5
Semisweet,61.0,U.S.A.,3.0
Papua New Guinea,80.0,Canada,2.75
Campesino w/ nibs,74.0,Canada,2.75
Dominican Republic,75.0,Canada,3.25
Trinitario,70.0,Canada,3.5
Downtown London,65.0,Canada,2.75
Africa meets Latina,70.0,Canada,3.0
Amazonas,80.0,Canada,3.0
Sharkey,66.0,Canada,3.25
one hundred,100.0,Canada,2.0
Arriba,77.0,Germany,2.5
Don Homero- Cerecita Valley,55.0,Ecuador,2.75
Don Homero- Cerecita Valley,70.0,Ecuador,3.0
South America and Africa,70.0,Australia,3.0
"Vale do Juliana, w/ nibs",85.0,U.S.A.,3.25
Brazil Blend,67.0,U.S.A.,3.0
"Tome Acu E., Amazon Rainforest",77.0,U.S.A.,3.5
"Vale do Juliana E., Atlantic Forest",74.0,U.S.A.,3.5
Peru,64.0,Germany,2.75
"Maya Mtn, Moho R., Toledo D., 2015",70.0,U.S.A.,3.25
"Cota Brus, Terciopelo, 2015",74.0,U.S.A.,3.5
"Alto Beni, Upper Rio Beni, 2014",67.0,U.S.A.,3.5
"Wild Beni, Lower Rio Beni, Tranquilidad, 2014",67.0,U.S.A.,3.0
"Los Rios, Hacienda Limon, Orecao, 2014",67.0,U.S.A.,3.75
"Maunawili, O'ahu, Agri Research C., 2014",67.0,U.S.A.,3.75
"Maunawili, O'ahu, Agri Research C., 2015",72.0,U.S.A.,3.5
"Los Rios, Hacienda Limon, Orecao, 2015",70.0,U.S.A.,3.5
"Pinchincha, Mindo, Coop Nueva Esper., 2015",77.0,U.S.A.,3.5
"Alto Beni, Upper Rio Beni, 2015",68.0,U.S.A.,3.75
"Wild Beni, Lower Rio Beni, Tranquilidad, 2015",72.0,U.S.A.,4.0
Uganda,57.0,U.S.A.,2.75
Venezuela,74.0,U.S.A.,3.5
Tanzania,70.0,U.S.A.,2.75
Madagascar,74.0,U.S.A.,3.0
Venezuela,70.0,U.S.A.,3.0
Ecuador,73.0,U.S.A.,3.25
Peru,70.0,U.S.A.,3.25
Akesson's Estate,70.0,New Zealand,2.75
Carenero Superior,72.0,New Zealand,2.75
Conacado,75.0,New Zealand,3.25
Gran Blanco,66.0,New Zealand,3.5
Arriba,80.0,Ecuador,2.0
Manabi,80.0,Ecuador,2.5
Arriba,72.0,Ecuador,3.0
Arriba,58.0,Ecuador,3.25
Manabi,58.0,Ecuador,3.5
Maranon,70.0,Israel,2.75
"Camino Verde P., Balao, Guayas",70.0,Israel,3.5
Sambirano,70.0,Israel,3.5
Gran Couva,70.0,Israel,3.5
Mara,70.0,Israel,3.5
Ivory Coast,70.0,Israel,2.5
Hispaniola,70.0,Israel,2.75
San Martin,70.0,Israel,3.5
Hispaniola w/ nibs,75.0,Israel,3.75
"Ecuador, w/ nibs",72.0,South Africa,2.5
"Pepiniere, single Cote",70.0,U.K.,2.75
"Marcial, single Cote, 2012",70.0,U.K.,4.0
"Island Growers, 2012, 120hr c.",100.0,U.K.,1.75
Trinidad,75.0,U.K.,3.0
Mekong Delta & Dong Nai,80.0,U.K.,3.5
"Los Rios, H. Iara",90.0,U.K.,3.0
"Somia Plantation, Akesson, 2012",72.0,U.K.,3.0
"Los Rios, H. Iara, 2012",82.0,U.K.,3.5
"Chanchamayo, Pichanadi, 2012, 60hr c.",100.0,U.K.,2.75
"Los Rios, H. Iara, 2012, 120hr c.",100.0,U.K.,2.5
"Conacado, 2012, 120hr c.",100.0,U.K.,2.75
Sambirano,66.0,U.K.,3.5
"Los Rios, H. Iara, 96hr c.",80.0,U.K.,3.0
"Island Growers, 120hr c.",65.0,U.K.,3.0
"Island Growers, 96hr c.",65.0,U.K.,3.25
Ecuador,70.0,U.K.,2.75
Santo Domingo,70.0,U.K.,3.0
Chuao,70.0,U.K.,2.75
St. Lucia,72.0,U.K.,3.0
Uganda,80.0,U.K.,2.5
Tanzania,75.0,U.K.,2.75
Uba Budo,72.0,U.K.,3.0
Lam Dong,70.0,Canada,3.5
Bolivia,70.0,Canada,3.0
"Bolivia, Bo-nib-ia, w/ nibs",70.0,Canada,3.0
Momotombo,70.0,Canada,3.0
Hispaniola,70.0,Canada,3.75
Zorzal Reserva w/ Charles Kerchner,70.0,Canada,3.5
"Ocumare, Cumboto",70.0,Canada,3.25
Amazonas,70.0,Canada,3.75
"Chuao, Venezuela",72.0,Switzerland,3.75
Coopertiva Amazona,72.0,Switzerland,3.75
"Sur del Lago, Amiari Meridena, Zulia, 48hr c.",72.0,Switzerland,3.75
"Choroni, Finca Torres, 48hr c.",72.0,Switzerland,3.25
"Ocumare, H. Cata, 48hr c.",72.0,Switzerland,3.75
"Porcelana, Zulia",74.0,Switzerland,4.0
"Ocumare, H. Cata, w/ nibs",72.0,Switzerland,3.5
"Carenero Superior, Urrutia, Barlovento",70.0,Switzerland,4.0
Coopertiva Amazona w/ nibs,72.0,Switzerland,4.0
"Sur del Lago, Amiari Meridena, Zulia, w/ nibs",72.0,Switzerland,4.0
India (south),61.0,India,2.5
La Red,70.0,U.S.A.,3.25
"Conacado, Manifesto",70.0,U.S.A.,2.75
Honduras,77.0,U.S.A.,3.0
"Satipo region, white label",72.0,Scotland,2.75
black label,72.0,Scotland,3.0
Madagascar,72.0,U.S.A.,3.5
Peru,72.0,U.S.A.,2.25
Belize,72.0,U.S.A.,3.25
Dominican Republic,72.0,U.S.A.,3.25
"Maya Mountain, Toledo, Batch 29",70.0,U.S.A.,3.5
"Elvesia P., Batch 32",70.0,U.S.A.,2.75
Trinatario Treasure,71.0,U.S.A.,2.0
Madagascar,63.0,Czech Republic,2.75
Belize,70.0,U.S.A.,3.5
Madagascar,70.0,U.S.A.,3.5
Peru,70.0,U.S.A.,4.0
"Rizek Cacao, Cibao Valley, Domin. Rep.",70.0,Domincan Republic,3.5
"Rizek Cacao, Domin. Rep.",82.0,Domincan Republic,3.0
"Rizek Cacao, Domin. Rep.",55.0,Domincan Republic,3.25
"Rizek Cacao, Domin. Rep.",62.0,Domincan Republic,3.25
Peru,64.0,Germany,2.5
Vanuatu,65.0,Germany,3.75
Sisa 36hr/ W. F. blend prototype,70.0,Ecuador,3.0
Sisa's Secret/ original micro,70.0,Ecuador,3.5
Roberto,75.0,Ecuador,2.75
Diego/ original micro,85.0,Ecuador,2.5
Diego 48hr/ W.F. blend prototype,85.0,Ecuador,2.75
Diego 60hr/ W.F. blend prototype,85.0,Ecuador,3.0
Cacao Nacional W.F.,75.0,Ecuador,2.5
Cacao Nacional W.F.,85.0,Ecuador,3.0
Noir,70.0,France,2.75
Ecuador,80.0,France,2.75
"La Red, Project Reserva, Guaconejo",70.0,U.S.A.,3.75
Dark,72.0,Mexico,2.0
"La Red, Guanconjeco",60.0,U.S.A.,3.0
San Martin,72.0,U.S.A.,2.5
Ocumare,72.0,U.S.A.,2.75
Belize,72.0,U.S.A.,3.0
Sambirano Valley,72.0,U.S.A.,3.25
Belize,90.0,U.S.A.,3.25
Elvesia,72.0,U.S.A.,3.25
ROIG,72.0,U.S.A.,3.25
"Kafupbo, Petit Bourg, De Borgnes",70.0,U.S.A.,3.25
"Maranon, Fortunato No. 4",70.0,U.S.A.,2.75
"Los Rios, Hacienda Limon, Heirloom",70.0,U.S.A.,3.75
"Bahia, Fazenda Camboa",70.0,U.S.A.,3.75
Uganda,72.5,U.S.A.,2.5
Hispaniola,72.5,U.S.A.,3.0
Ecuador,72.5,U.S.A.,2.5
Madagascar,72.5,U.S.A.,3.0
Peru,74.0,U.S.A.,3.25
Brazil,70.0,U.S.A.,4.0
Chuao,68.0,U.S.A.,3.75
Quito,74.0,U.S.A.,3.75
Grenada,75.0,U.S.A.,3.25
Dominican Republic,74.0,U.S.A.,3.75
Venzuela,71.0,U.S.A.,3.0
Madagascar,64.0,U.S.A.,3.5
Bolivian,68.0,U.S.A.,3.0
"Lumas, 2015 Harvest, Batch 6, brown sugar",70.0,Japan,2.25
"Lumas, 2015 Harvest, Batch 7",70.0,Japan,2.5
"Tumbes, 2013 Harvest, Batch 8",70.0,Japan,3.0
"Belize, 2014 Harvest, Batch 9",70.0,Japan,3.0
"Cuana, 2013",74.0,France,2.75
Tobago,60.0,France,3.25
"Acarigua, w/ nibs",56.0,France,3.25
Loma Sotavento,66.0,France,3.5
Grenada,68.0,France,3.5
Akosombo,68.0,France,3.25
"Porcelana, Pariguan",69.0,France,3.5
Kuruba,60.0,France,3.0
Orinoco,60.0,France,3.75
"Cuana, 2008",74.0,France,3.5
Peruvian Amazon,72.0,Peru,2.5
Vinces,60.0,Ecuador,3.25
"Madagascar, Batch 59/100",75.0,France,2.75
"Vietnam, Batch 50/100",75.0,France,2.75
"Cuba, Batch 59/100",75.0,France,3.0
"Peru, Batch 51/100",75.0,France,3.25
"Ivory Coast, Batch 56/100",75.0,France,3.0
"Sao Tome, Batch 151",75.0,France,3.5
"Bahia, Batch 148",75.0,France,3.25
"Lam Dong, Batch 153",75.0,France,3.75
Cuba,70.0,France,2.75
Trinidad-Tobago,68.0,France,2.75
Catongo,70.0,Brazil,3.5
Tanzania,75.0,U.S.A.,2.5
Rugoso,80.0,U.S.A.,3.5
Carenero Superior,75.0,U.S.A.,3.0
Rio Caribe,75.0,U.S.A.,3.0
Blend,72.0,U.S.A.,3.0
"La Masica, Batch 7, FHIA",70.0,U.S.A.,3.5
"Maya Mtn, Batch 18, Heirloom",70.0,U.S.A.,3.25
Liberia,70.0,U.S.A.,3.25
Beniamo,70.0,U.S.A.,3.25
"San Juan Estate, Gran Couva",70.0,U.S.A.,3.5
San Andres,70.0,U.S.A.,3.0
"La Red, Guaconejo",70.0,U.S.A.,3.25
Kokoa Kamili,70.0,U.S.A.,3.5
Maranura,70.0,U.S.A.,3.5
Sambirano,71.0,Finland,3.5
Madagascar,70.0,Finland,3.0
Perfect Illusion,65.0,U.S.A.,3.5
"Bolivia, Wild Thing",68.0,U.S.A.,3.5
La Selva,68.0,U.S.A.,3.75
Purple Haze,75.0,U.S.A.,2.75
"The Other One, Grand Cru",74.0,U.S.A.,3.0
Wild Thing,68.0,U.S.A.,3.5
Excellence (US Version),85.0,Switzerland,3.0
Puerto Rico,65.0,Puerto Rico,2.5
"Haleiwa, O'ahu; Lonohana E., Kanahiku",70.0,U.S.A.,3.75
"Haleiwa E, O'ahu, 2014",65.0,U.S.A.,3.25
"Haleiwa E, O'ahu, 2014",75.0,U.S.A.,3.75
"Opaeula Estate, O'ahu, Nene, CG Exclusive",71.0,U.S.A.,3.0
"Opaeula Estate, O'ahu, Ele'ele",72.0,U.S.A.,3.0
"Hawaiian Crown, Kona Vanilla",70.0,U.S.A.,3.5
Nicaragua,75.0,U.S.A.,2.0
Selva,46.0,Colombia,2.75
Macondo,60.0,Colombia,3.0
Misterio,58.0,Colombia,3.0
Santander,65.0,Colombia,3.5
Peru,70.0,Peru,1.5
Peru,55.0,Peru,2.25
Madagascar,67.0,Madagascar,3.5
Madagascar,70.0,Madagascar,3.75
Madagascar,63.0,Madagascar,4.0
Madagascar,75.0,Madagascar,3.5
Guadalcanal,73.0,U.S.A.,3.5
Puerto Rico,70.0,U.S.A.,2.75
Brazil,70.0,U.S.A.,3.5
"Choobua, Kona",70.0,U.S.A.,2.75
"Xocunusco, Chiapas, Pichucalco",70.0,U.S.A.,2.75
"Hamakua Coast, Kokoleka",70.0,U.S.A.,3.25
"Criollo, Hawaii",70.0,U.S.A.,3.25
Kaua'i,70.0,U.S.A.,3.5
Dominican,70.0,U.S.A.,2.5
Upala,70.0,U.S.A.,2.75
"Chiapas, Triple Cacao",72.0,U.S.A.,2.75
Africa,75.0,Italy,2.0
Ecuador,70.0,Italy,3.0
Cuba,70.0,Italy,3.25
Santo Domingo,70.0,Italy,3.75
Ecuador,70.0,Italy,2.0
Sambirano 2006,75.0,Madagascar,2.75
Mora Mora 2006,73.0,Madagascar,3.5
"Davao, Mt. Talamo foothills",65.0,Philippines,3.5
"O'ahu, N. Shore, Waialua Estate w/ nibs",55.0,U.S.A.,3.5
"O'ahu, N. Shore, Waialua Estate",55.0,U.S.A.,2.75
Chuao,70.0,Sweden,3.0
Ecuador,74.0,U.S.A.,2.5
Peru,74.0,U.S.A.,2.5
Venezuela,74.0,U.S.A.,2.75
Conacado,74.0,U.S.A.,3.75
Colombia,70.0,Colombia,2.75
Markham Valley,72.0,U.S.A.,3.5
Coto Brus,72.0,U.S.A.,3.75
"Waiahole, O'ahu",72.0,U.S.A.,3.75
"Liberia, #174",72.0,U.S.A.,3.25
"Hamakua, Hawaiian Crown, #176",72.0,U.S.A.,2.75
Piura,72.0,U.S.A.,3.0
"Oahu, Winward, #151, Maunawili district",72.0,U.S.A.,3.25
Johe,70.0,Poland,3.75
Peru,70.0,Poland,3.5
Porcelana,70.0,Poland,3.75
Kolumbia,85.0,Poland,3.5
Grand Cru Dominican Republic,70.0,Poland,3.25
Grand Cru Ghana,70.0,Poland,3.5
Grand Cru Ecuador,70.0,Poland,3.25
"Ben Tre, Surprise Valley",75.0,U.S.A.,3.25
"ROIG, 2014",70.0,U.S.A.,3.5
"Maranon, 2014",62.0,U.S.A.,3.5
Ecuador,70.0,U.S.A.,3.5
"San Juan Estate, Cherry Blossoms at Night",70.0,U.S.A.,2.75
"A case of the Xerces Blues, triple roast",70.0,U.S.A.,3.5
"Tumbes, Dear Mr. Finley, 2014",68.0,U.S.A.,3.5
Colombia,75.0,U.S.A.,2.75
"Kakoa Kamili, Both Man & Bird & Beast",72.0,U.S.A.,3.0
Le Chocolat Chaud,78.0,U.S.A.,3.5
Piura,70.0,Peru,3.0
Cusco,70.0,Peru,2.75
San Martin,70.0,Peru,3.0
Cacao Nib Crunch,75.0,Canada,3.25
"Tan Phu Dong Island, Heart of Darkness",85.0,Vietnam,3.25
Ben Tre,68.0,Vietnam,3.5
"Dak Lak, Batch 2451",70.0,Vietnam,3.75
"Tan Phu Dong, Treasure Island",75.0,Vietnam,3.5
Ba Ria,76.0,Vietnam,3.5
Dong Nai,72.0,Vietnam,3.5
"Tien Giang, Gao Co-op",70.0,Vietnam,3.5
Ben Tre,78.0,Vietnam,3.5
Tien Giang,80.0,Vietnam,3.0
Lam Dong,74.0,Vietnam,3.5
"Matina 1-6, prototype",65.0,U.S.A.,3.0
Ivory Coast,65.0,U.S.A.,3.0
Nigeria,65.0,U.S.A.,3.25
"Ghana, prototype",65.0,U.S.A.,3.5
Dominican Republic,74.0,U.S.A.,2.25
Dominican Republic,89.0,U.S.A.,2.5
Alto Beni,76.0,Austria,2.75
Pisa,82.0,Austria,3.0
Tumaco,74.0,Austria,3.25
Guatemala,76.0,U.S.A.,3.0
Tanzania,74.0,U.S.A.,3.25
French Laundry 20th Anniversary,75.0,U.S.A.,3.75
Shake Shack,73.0,U.S.A.,3.5
Chuao,73.0,U.S.A.,2.75
Brooklyn Blend,72.0,U.S.A.,3.5
"Chuao, Med. Roast",76.0,U.S.A.,3.0
"Chuao, Dark Roast",70.0,U.S.A.,3.0
"Chuao, Light Roast",81.0,U.S.A.,2.75
Moho River,70.0,U.S.A.,3.5
Papua New Guinea,71.0,U.S.A.,2.75
San Martin,75.0,U.S.A.,3.0
Conacado,73.0,U.S.A.,3.25
"La Red de Guanconejo, N. Highlands coop",74.0,U.S.A.,3.75
Patanemo,81.0,U.S.A.,2.75
Ocumare de la Costa,75.0,U.S.A.,3.0
"Dominican Republic, Coop",70.0,U.S.A.,3.25
"Malekula P., 2013",72.0,Australia,3.5
"Somia, 2013",68.0,Australia,4.0
"Kulili P., 2013",74.0,Australia,4.0
Blend,70.0,Australia,3.75
Maya Mountain,70.0,U.S.A.,3.25
Elvesia,70.0,U.S.A.,3.25
Tumbes,82.0,U.S.A.,3.25
"Morropon, Norandiono Coop, Piura",63.0,U.S.A.,3.5
Hispaniola,72.0,U.S.A.,3.0
Bolivia,70.0,U.S.A.,2.5
Venezuela,70.0,U.S.A.,2.75
Belize,70.0,U.S.A.,3.0
"Nicaragua, w/ inbs",70.0,U.S.A.,3.0
Dominican Republic,70.0,U.S.A.,3.5
Madagascar,80.0,Madagascar,2.5
Madagascar,72.0,Madagascar,2.5
El Salvador,80.0,Honduras,2.75
El Salvador,70.0,Honduras,3.0
Honduras,80.0,Honduras,3.25
Honduras,70.0,Honduras,3.5
"La Tronca, Matagalpa",70.0,Honduras,3.25
"La Tronca, Matagalpa",80.0,Honduras,3.5
"Fazenda Sempre Firme P., Bahia",70.0,Sweden,3.0
Akesson Estate,72.0,Sweden,3.5
South America,70.0,Amsterdam,3.5
"Chiapas, Mokaya P.",66.0,France,3.75
"Carenero Superior, Concepcion",66.0,France,3.5
Vila Gracinda,67.0,France,3.5
Carre Amer,60.0,France,2.0
Carre Grand Noir,85.0,France,2.0
Tamarina,70.0,France,3.0
Los Ancones P.,67.0,France,4.0
Mangaro P.,65.0,France,4.0
Maralumi P.,64.0,France,4.0
Noir Infini,99.0,France,2.0
Maya Mountain,80.0,U.S.A.,3.5
San Juan Estate,70.0,U.S.A.,3.5
Oko Caribe,75.0,U.S.A.,3.75
"Patanemo, Epoch, Donaldo",75.0,U.S.A.,3.75
Kokoa Kamili,75.0,U.S.A.,3.25
"Matagalpa, Cacao Bisiesto",70.0,U.S.A.,3.5
La Red,75.0,U.S.A.,2.5
Belize,80.0,U.S.A.,3.25
Houseblend,65.0,U.S.A.,1.5
Alto Beni,75.0,U.S.A.,2.0
"Balinese, Java",70.0,U.S.A.,2.5
Ecuador,70.0,U.S.A.,2.5
Ecuador,70.0,U.S.A.,3.5
Ecuador,67.0,U.S.A.,2.75
Ecuador,77.0,U.S.A.,2.75
"Acul-du-Nord, 2015",70.0,Japan,3.5
"Fazenda Camboa, Bahia",75.0,Brazil,3.75
"Bahia, Fazenda Venturosa",70.0,Brazil,3.5
Tumaco,65.0,Colombia,2.5
"Toledo District, w/ nibs",73.0,U.S.A.,3.25
Toledo District,72.0,U.S.A.,3.0
"Umoho R., Toledo District, San Felipe",67.0,U.S.A.,2.75
La Red,70.0,U.S.A.,3.0
Indonesia,70.0,U.S.A.,2.75
Peru,70.0,U.S.A.,3.25
Matagalpa,70.0,Nicaragua,2.75
Mombacho,70.0,Nicaragua,2.75
Oscuro,70.0,Nicaragua,3.25
Oko Caribe,72.0,Canada,3.5
Papaua New Guinea,70.0,Australia,3.25
Manabi,70.0,Ecuador,3.25
Manabi,63.0,Ecuador,3.5
Manabi,85.0,Ecuador,3.5
Nicaragua,70.0,U.S.A.,3.5
Nicaragua,80.0,U.S.A.,3.5
"Kokoa Kamili, batch 1 SRB",68.0,U.S.A.,2.75
"Oko Caribe, batch 1 SRB",71.0,U.S.A.,2.75
"Ambanja, batch 1 SRB",68.0,U.S.A.,2.75
"Tien Giang, batch 1 SRB",80.0,U.S.A.,3.0
"Costa Rica, Oscuro",58.0,Costa Rica,2.5
"Costa Rica, Oscuro",70.0,Costa Rica,3.0
Trinidad & Tobago,70.0,Lithuania,3.75
"Maranon Canyon, Fortunato No. 4",78.0,Lithuania,3.75
Grenada,71.0,Lithuania,2.5
Nicaragua,70.0,Lithuania,3.25
Chuao,75.0,Lithuania,2.75
Barinas,70.0,Lithuania,3.0
Criollo Blend,85.0,U.S.A.,3.5
Peru,72.0,U.S.A.,2.25
Hispaniola,70.0,U.S.A.,2.5
Madagascar,73.5,U.S.A.,2.5
Ghana,70.0,U.S.A.,3.5
Papua New Guinea,70.0,Belgium,2.5
Manickchand Estate,67.0,Belgium,3.75
Dark,73.0,Belgium,1.0
West Africa,73.0,Belgium,2.0
Sao Tome,75.0,Belgium,2.75
Ocumare,71.0,Belgium,3.0
Patanemo,72.0,U.S.A.,2.25
Elvesia P.,72.0,U.S.A.,2.75
"Ambanja, Sambirano Valley",72.0,U.S.A.,3.0
Tumbes,72.0,U.S.A.,3.0
Peru,75.0,U.S.A.,2.75
Ecuador,75.0,U.S.A.,3.5
Ghana,75.0,U.S.A.,3.0
Moho Valley,75.0,U.S.A.,3.0
Maranon Canyon,75.0,U.S.A.,3.25
Venezuela,70.0,U.S.A.,3.0
Ecuador,70.0,U.S.A.,3.0
"La Patriota, cacao Indio, purple label",70.0,Nicaragua,3.0
"La Dalia, Matagalpa,cacao Bisesto,green label",75.0,Niacragua,2.75
"Punta Galera, cacao Nacional, gold label",80.0,Nicaragua,3.25
"Ghana, 2013",70.0,U.S.A.,3.75
"Ecuador, 2013",70.0,U.S.A.,2.75
"Canoabo, 2013",70.0,U.S.A.,3.0
