Engine Size(L),Cylinders,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),CO2 Emissions(g/km)
5.4,8,24.5,18.0,21.6,346
3.0,6,15.2,9.6,12.7,292
3.0,6,15.2,9.6,12.7,292
4.7,8,18.2,11.4,15.1,347
4.7,8,18.2,11.7,15.3,352
3.8,8,17.6,10.7,14.5,334
3.0,6,15.9,9.7,13.1,301
2.0,4,8.9,7.3,8.2,189
2.0,4,9.0,6.8,8.0,184
2.5,4,9.6,7.4,8.6,198
2.0,4,9.3,7.6,8.5,196
2.5,4,9.8,7.9,8.9,205
3.7,6,14.2,10.0,12.3,283
3.7,6,14.3,10.6,12.6,290
1.5,4,8.4,6.9,7.7,177
1.5,4,8.0,6.7,7.4,170
2.0,4,7.9,5.7,6.9,159
2.0,4,8.0,5.8,7.0,161
2.5,4,8.4,6.1,7.4,170
2.5,4,8.3,6.1,7.3,168
2.0,4,8.0,5.8,7.0,161
2.0,4,8.0,5.9,7.1,163
2.0,4,8.2,5.9,7.2,166
2.5,4,8.7,6.5,7.7,177
2.5,4,8.2,6.1,7.3,168
2.0,4,8.2,5.9,7.2,166
2.5,4,10.8,8.4,9.7,223
2.5,4,11.1,8.3,9.8,225
2.5,4,8.8,6.2,7.6,175
2.5,4,9.4,6.4,8.1,186
2.5,4,8.4,5.9,7.3,168
2.0,4,11.5,8.5,10.2,235
2.0,4,10.5,8.5,9.6,221
2.0,4,11.1,8.4,9.9,228
2.0,4,9.2,6.6,8.0,184
1.8,4,10.9,7.5,9.4,216
1.8,4,11.0,7.4,9.4,216
3.5,6,12.2,8.5,10.5,242
3.5,6,16.4,11.1,14.0,224
3.5,6,12.0,8.6,10.5,242
3.5,6,11.9,8.6,10.4,239
3.5,6,12.1,8.7,10.6,244
3.5,6,12.1,8.6,10.5,242
6.2,8,17.7,11.9,15.1,347
6.2,8,17.9,12.2,15.3,352
4.7,8,15.4,10.4,13.2,304
5.5,8,15.4,11.0,13.4,308
2.0,4,9.1,6.2,7.8,179
2.0,4,10.3,7.8,9.2,212
4.7,8,13.3,9.4,11.5,264
5.5,8,15.1,10.7,13.1,301
5.5,8,15.1,10.7,13.1,301
2.1,4,8.5,5.7,7.2,194
3.5,6,11.8,8.2,10.2,235
3.5,6,11.6,8.1,10.0,230
3.5,6,11.9,8.5,10.4,239
3.5,6,12.1,8.6,10.5,242
3.5,6,12.0,8.5,10.4,239
3.5,6,11.9,8.2,10.2,235
3.5,6,9.6,7.9,8.8,202
4.7,8,13.6,9.1,11.6,267
4.7,8,13.7,9.3,11.7,269
4.7,8,13.4,8.9,11.4,262
5.5,8,15.0,10.3,12.9,297
5.5,8,15.5,11.0,13.5,310
5.5,8,15.0,10.3,12.9,297
5.5,8,15.5,11.0,13.5,310
5.5,8,20.0,15.9,18.2,419
5.5,8,19.4,15.7,17.7,407
3.0,6,13.4,10.2,12.0,324
4.7,8,17.1,12.8,15.2,350
4.7,8,17.6,13.1,15.6,359
5.5,8,17.7,13.4,15.8,363
2.1,4,9.6,7.1,8.5,230
3.5,6,12.6,9.6,11.3,260
3.5,6,13.4,10.5,12.1,278
3.5,6,17.8,13.8,16.0,256
3.0,6,11.8,8.5,10.3,278
4.7,8,16.2,11.8,14.2,327
5.5,8,17.2,13.5,15.5,356
4.7,8,14.3,9.5,12.1,278
4.7,8,14.2,9.4,12.0,276
5.5,8,15.6,10.3,13.2,304
4.7,8,13.4,9.6,11.7,269
5.5,8,14.8,10.2,12.7,292
6.0,8,16.7,11.2,14.2,327
1.8,4,10.3,7.2,8.9,205
1.8,4,10.4,7.3,9.0,207
3.5,6,11.1,8.1,9.8,225
5.5,8,12.3,8.7,10.7,246
6.2,8,18.7,13.9,16.5,380
6.2,8,18.2,12.6,15.7,361
6.2,8,18.2,12.6,15.7,361
1.6,4,8.7,6.6,7.8,179
1.6,4,8.6,6.8,7.8,179
1.6,4,8.7,6.6,7.8,179
1.6,4,8.6,6.8,7.8,179
1.6,4,9.4,7.9,8.7,200
1.6,4,8.6,6.8,7.8,179
1.6,4,8.5,6.6,7.6,175
1.6,4,8.0,6.4,7.3,168
1.6,4,9.4,7.9,8.7,200
1.6,4,8.6,6.8,7.8,179
1.6,4,8.7,6.6,7.8,179
1.6,4,8.6,6.8,7.8,179
1.6,4,9.3,7.0,8.3,191
1.6,4,9.1,6.7,8.0,184
1.6,4,9.3,7.0,8.3,191
1.6,4,9.1,6.7,8.0,184
1.6,4,10.0,7.8,9.0,207
1.6,4,9.3,7.5,8.5,196
1.6,4,9.3,7.0,8.3,191
1.6,4,9.1,6.7,8.0,184
1.6,4,10.0,7.8,9.0,207
1.6,4,9.3,7.5,8.5,196
1.6,4,9.3,7.0,8.3,191
1.6,4,9.1,6.7,8.0,184
1.6,4,9.3,7.0,8.3,191
1.6,4,9.1,6.7,8.0,184
1.6,4,9.3,7.0,8.3,191
1.6,4,9.1,6.7,8.0,184
1.6,4,10.0,7.8,9.0,207
1.6,4,9.3,7.5,8.5,196
1.6,4,9.3,7.0,8.3,191
1.6,4,9.1,6.7,8.0,184
1.6,4,10.0,7.8,9.0,207
1.6,4,9.3,7.5,8.5,196
1.6,4,9.3,7.0,8.3,191
1.6,4,9.1,6.7,8.0,184
2.0,4,9.2,7.0,8.2,189
2.0,4,9.6,6.8,8.3,191
2.4,4,10.5,8.2,9.5,218
2.0,4,14.2,10.5,12.5,288
2.0,4,14.0,10.3,12.3,283
2.0,4,13.4,9.4,11.6,267
2.0,4,9.6,7.3,8.6,198
2.0,4,9.8,7.1,8.6,198
1.2,3,6.4,5.4,6.0,138
1.2,3,7.0,5.6,6.4,147
2.4,4,9.5,7.5,8.6,198
2.4,4,9.9,8.1,9.1,209
3.0,6,11.5,8.5,10.2,235
2.0,4,9.6,7.6,8.7,200
2.0,4,9.9,7.5,8.8,202
2.0,4,9.8,8.0,9.0,207
3.7,6,12.6,9.1,11.0,253
3.7,6,13.3,9.3,11.5,264
3.7,6,13.0,9.5,11.4,262
3.7,6,13.5,9.6,11.7,269
2.5,4,8.7,6.2,7.6,175
3.5,6,10.8,7.4,9.3,214
5.6,8,19.1,13.4,16.5,380
2.5,4,13.7,10.6,12.3,283
2.5,4,12.2,10.2,11.3,260
4.0,6,14.7,10.2,12.7,292
4.0,6,15.7,11.2,13.7,315
4.0,6,14.8,11.0,13.1,301
3.8,6,14.5,10.9,12.9,297
1.6,4,8.7,7.3,8.1,186
1.6,4,9.5,7.6,8.6,198
1.6,4,9.3,7.9,8.7,200
3.5,6,12.3,9.1,10.9,251
3.5,6,13.2,10.1,11.8,271
2.0,4,10.0,8.5,9.3,214
3.5,6,12.0,8.9,10.6,244
3.5,6,12.3,9.3,11.0,253
2.5,4,9.1,8.5,8.8,202
3.5,6,12.5,9.5,11.1,255
2.5,4,9.2,7.2,8.3,191
2.5,4,9.5,7.4,8.6,198
1.8,4,7.8,6.0,7.0,161
1.8,4,8.7,6.6,7.8,179
5.6,8,17.9,12.8,15.6,359
5.6,8,19.7,14.3,17.3,398
1.6,4,7.2,5.8,6.6,152
1.6,4,8.6,6.5,7.7,177
4.0,6,16.1,11.9,14.2,327
4.0,6,15.2,11.9,13.7,315
3.4,6,11.6,8.3,10.1,232
3.4,6,12.5,8.6,10.7,246
3.4,6,11.8,8.5,10.3,237
3.4,6,12.4,8.6,10.7,246
3.4,6,12.0,8.7,10.5,242
3.4,6,12.6,9.0,11.0,253
3.8,6,12.3,8.9,10.8,248
3.8,6,12.8,8.9,11.0,253
3.8,6,12.7,9.0,11.0,253
3.8,6,12.9,9.1,11.2,258
3.4,6,11.6,8.3,10.1,232
3.4,6,12.4,8.6,10.7,246
3.8,6,12.1,8.7,10.6,244
3.8,6,12.6,8.6,10.8,248
3.8,6,12.4,8.7,10.7,246
3.8,6,12.6,8.8,10.9,251
3.8,6,16.0,11.5,14.0,322
3.8,6,13.7,9.6,11.9,274
3.8,6,13.7,9.6,11.9,274
3.8,6,13.7,9.6,11.9,274
3.8,6,13.7,9.6,11.9,274
2.7,6,10.7,7.4,9.2,212
2.7,6,11.5,7.9,9.9,228
3.4,6,11.3,7.9,9.8,225
3.4,6,11.9,8.6,10.4,239
3.6,6,14.1,10.2,12.4,290
3.6,6,15.8,10.9,13.6,313
3.0,6,11.8,8.1,10.2,277
4.8,8,16.7,11.5,14.4,338
4.8,8,15.5,10.7,13.2,310
3.0,6,11.8,9.9,10.9,251
4.8,8,16.3,11.0,13.9,326
4.8,8,18.0,11.9,15.2,358
2.7,6,10.7,7.4,9.2,212
2.7,6,11.5,7.9,9.9,228
3.4,6,11.3,7.9,9.8,225
3.4,6,11.9,8.6,10.4,239
3.6,6,12.9,8.4,10.9,251
3.6,6,13.1,8.7,11.1,255
3.0,6,13.4,8.8,11.3,260
3.0,6,13.7,8.9,11.5,264
4.8,8,15.1,9.7,12.7,292
3.0,6,13.4,8.8,11.3,260
4.8,8,15.3,9.7,12.8,294
4.8,8,15.4,9.8,12.9,297
5.7,8,17.1,12.0,14.8,340
5.7,8,15.8,10.9,13.6,313
5.7,8,17.6,12.7,15.4,354
5.7,8,16.3,11.5,14.1,324
3.0,6,12.1,8.8,10.6,286
3.6,6,14.6,10.1,12.6,290
3.6,6,20.5,14.5,17.8,285
3.0,6,11.6,8.4,10.2,275
3.6,6,13.9,9.5,11.9,274
3.6,6,19.4,13.6,16.8,269
3.6,6,12.9,9.3,11.3,260
3.6,6,13.3,9.1,11.4,262
3.6,6,18.6,12.7,15.9,254
6.6,12,19.1,12.3,16.0,368
6.6,12,19.1,12.3,16.0,368
6.7,12,20.7,12.8,17.1,393
6.7,12,20.7,12.8,17.1,393
6.7,12,20.7,12.7,17.1,393
6.7,12,20.7,12.7,17.1,393
6.6,12,18.7,11.8,15.6,359
2.0,4,9.6,7.0,8.4,193
2.0,4,10.9,7.8,9.5,218
1.3,4,6.6,5.7,6.2,143
2.5,4,10.2,7.5,9.0,207
2.5,4,10.2,7.6,9.0,207
2.4,4,10.9,8.6,9.9,228
2.4,4,10.9,8.6,9.9,228
1.8,4,8.8,7.1,8.0,184
1.8,4,8.6,7.1,7.9,182
1.0,3,6.9,5.7,6.4,147
1.0,3,6.9,5.7,6.4,147
8.4,10,20.0,13.0,16.9,389
8.4,10,20.0,13.0,16.9,389
2.0,4,9.6,7.1,8.5,196
2.0,4,11.0,7.9,9.6,221
2.0,4,10.2,8.6,9.5,218
2.5,4,9.6,7.4,8.6,198
2.5,4,10.9,8.3,9.7,223
2.0,4,8.7,6.6,7.8,179
2.0,4,9.6,7.1,8.5,196
2.5,4,12.6,9.5,11.2,258
2.5,4,14.2,10.4,12.5,288
2.0,4,8.7,6.6,7.8,179
2.0,4,9.6,7.1,8.5,196
2.5,4,12.6,9.5,11.2,258
2.5,4,14.2,10.4,12.5,288
2.5,4,9.7,7.3,8.6,198
2.5,4,11.3,8.2,9.9,228
3.6,6,13.3,9.5,11.6,267
2.5,4,9.9,7.8,9.0,207
2.5,4,10.8,8.5,9.8,225
3.6,6,13.4,9.7,11.7,269
3.6,6,14.7,11.1,13.1,301
2.0,4,9.5,7.2,8.5,196
2.0,4,10.2,8.0,9.2,212
2.0,4,8.1,7.2,7.7,177
4.0,6,14.3,11.1,12.9,297
4.0,6,14.3,11.1,12.9,297
3.5,6,11.3,7.6,9.6,221
2.5,4,9.5,6.6,8.2,189
3.5,6,11.1,7.8,9.6,221
2.5,4,5.5,5.9,5.7,131
2.5,4,5.8,6.2,6.0,138
1.8,4,8.6,6.5,7.7,177
1.8,4,8.1,6.3,7.3,168
1.8,4,8.0,5.9,7.1,163
1.8,4,8.3,6.3,7.4,170
1.8,4,7.7,5.6,6.8,156
1.8,4,7.8,5.9,6.9,159
1.8,4,9.4,7.5,8.5,196
1.8,4,8.9,7.3,8.2,189
4.0,6,14.3,11.2,12.9,297
4.0,6,15.4,12.1,13.9,320
2.7,4,11.7,8.6,10.3,237
3.5,6,12.6,9.4,11.2,258
3.5,6,13.0,9.7,11.5,264
3.5,6,8.0,8.6,8.3,191
3.5,6,7.9,8.6,8.2,189
1.8,4,4.7,4.9,4.8,110
1.5,4,4.6,4.9,4.7,108
1.8,4,5.3,5.8,5.5,126
2.5,4,10.0,7.6,8.9,205
2.5,4,10.4,8.1,9.4,216
2.5,4,10.6,8.2,9.5,218
5.7,8,19.0,13.9,16.7,384
3.5,6,12.9,9.4,11.3,260
3.5,6,14.2,10.3,12.4,285
2.7,4,12.2,9.3,10.9,251
2.7,4,11.3,8.9,10.2,235
4.0,6,14.5,11.3,13.1,301
2.7,4,13.1,10.5,11.9,274
2.7,4,12.8,10.6,11.8,271
4.0,6,14.7,11.5,13.3,306
4.0,6,15.3,12.3,14.0,322
4.0,6,14.8,11.8,13.5,310
4.6,8,15.9,12.3,14.3,329
5.7,8,17.6,12.9,15.5,356
4.6,8,16.9,12.8,15.1,347
5.7,8,18.1,13.9,16.2,373
2.7,4,11.4,8.2,10.0,230
3.5,6,12.6,9.1,11.0,253
2.7,4,11.6,8.5,10.2,235
3.5,6,12.9,9.4,11.3,260
1.5,4,7.9,6.6,7.3,168
1.5,4,7.8,6.3,7.1,163
1.8,4,9.5,7.2,8.5,196
1.8,4,9.9,7.2,8.7,200
2.0,4,10.3,7.7,9.1,209
2.0,4,10.8,7.6,9.4,216
2.5,5,10.9,8.4,9.8,225
2.5,5,11.2,7.7,9.6,221
2.0,4,8.4,5.9,7.4,200
2.0,4,8.8,6.1,7.7,208
1.8,4,9.8,7.3,8.7,200
2.0,4,10.3,8.1,9.3,214
2.0,4,10.8,7.6,9.4,216
2.5,5,11.2,8.7,10.1,232
2.0,4,11.1,7.9,9.7,223
2.0,4,11.6,7.7,9.8,225
3.6,6,14.3,9.8,12.3,283
2.0,4,10.9,8.0,9.6,221
2.5,5,11.0,7.7,9.5,218
2.5,5,11.2,7.3,9.4,216
2.0,4,8.1,6.4,7.4,198
2.0,4,8.3,6.0,7.3,196
1.8,4,9.5,6.7,8.2,189
1.8,4,9.4,6.7,8.2,189
2.0,4,10.6,8.0,9.4,216
2.0,4,10.4,7.2,9.0,207
2.0,4,8.1,6.4,7.4,198
2.0,4,8.3,6.0,7.3,196
2.0,4,10.2,7.5,9.0,207
2.0,4,10.6,7.4,9.2,212
1.4,4,5.6,5.2,5.4,124
1.8,4,9.9,6.9,8.6,198
1.8,4,10.0,6.9,8.6,198
2.5,5,11.0,8.0,9.7,223
2.5,5,11.4,7.8,9.8,225
3.6,6,12.4,8.8,10.8,248
2.0,4,7.8,5.9,6.9,180
3.6,6,14.2,9.5,12.1,278
2.0,4,11.7,9.5,10.7,246
2.0,4,13.6,9.2,11.6,267
2.0,4,11.7,9.4,10.7,246
3.6,6,14.4,10.4,12.6,296
3.0,6,11.8,8.1,10.2,277
2.5,5,11.3,7.8,9.7,223
2.5,5,11.6,8.3,10.1,232
3.0,6,13.2,9.5,11.5,264
3.2,6,11.9,8.1,10.2,235
3.0,6,13.2,9.5,11.5,264
3.2,6,13.0,8.9,11.2,258
3.0,6,13.4,9.8,11.8,271
3.2,6,13.2,9.5,11.5,264
3.0,6,13.4,9.8,11.8,271
3.2,6,12.9,9.3,11.3,260
3.2,6,14.9,10.2,12.8,294
2.0,4,9.7,6.7,8.3,191
2.4,4,10.8,7.4,9.3,214
1.5,4,6.0,6.1,6.1,140
3.5,6,12.7,9.1,11.1,255
3.5,6,12.1,8.7,10.6,244
3.5,6,11.9,7.7,10.0,230
3.5,6,8.0,7.5,7.7,177
2.4,4,9.6,6.6,8.3,191
3.5,6,11.2,6.9,9.2,212
3.5,6,11.2,7.5,9.6,221
1.8,4,9.7,6.9,8.4,193
5.9,12,18.0,12.6,15.6,359
6.0,12,16.8,10.9,14.2,327
4.7,8,17.4,11.3,14.7,338
4.7,8,18.1,12.3,15.5,356
4.7,8,17.4,11.3,14.7,338
4.7,8,18.1,12.3,15.5,356
6.0,12,19.5,12.8,16.5,379
4.7,8,17.4,11.3,14.7,338
4.7,8,18.1,12.3,15.5,356
6.0,12,17.6,11.4,14.8,340
1.8,4,10.0,7.1,8.7,200
2.0,4,7.6,5.5,6.5,177
2.0,4,9.8,7.2,8.6,198
2.0,4,10.1,7.5,8.9,205
2.0,4,9.9,7.6,8.9,205
2.0,4,11.0,7.8,9.6,221
2.0,4,10.6,7.3,9.1,209
2.0,4,11.2,8.4,9.9,228
2.0,4,11.0,7.8,9.6,221
2.0,4,10.6,7.3,9.1,209
2.0,4,11.3,8.0,9.8,225
2.0,4,12.0,8.1,10.3,237
3.0,6,12.8,8.6,10.9,251
3.0,6,9.8,6.2,8.1,217
3.0,6,13.1,8.5,11.0,253
3.0,6,9.8,6.2,8.1,217
3.0,6,12.6,8.0,10.5,242
4.0,8,12.9,8.0,10.7,246
3.0,6,9.8,6.5,8.4,224
3.0,6,12.6,8.0,10.5,242
4.0,8,13.2,8.3,11.0,258
6.3,12,17.8,10.8,14.6,344
3.0,6,9.8,6.5,8.4,224
2.0,4,12.0,8.2,10.3,237
2.0,4,11.9,8.4,10.3,237
2.0,4,12.0,8.5,10.4,239
3.0,6,13.2,9.2,11.4,262
3.0,6,10.2,7.8,9.0,244
2.0,4,9.8,7.9,8.9,205
3.0,6,15.2,11.0,13.3,306
3.0,6,12.4,8.7,10.7,290
4.2,8,17.3,10.4,14.2,327
4.2,8,20.5,11.7,16.6,382
5.2,10,18.2,10.6,14.8,347
5.2,10,19.9,12.0,16.4,377
4.2,8,17.3,10.4,14.2,327
4.2,8,20.5,11.7,16.6,382
5.2,10,18.2,10.6,14.8,347
5.2,10,19.9,12.0,16.4,377
4.2,8,14.9,10.1,12.8,294
4.2,8,14.8,10.6,12.9,297
4.0,8,16.6,9.4,13.3,313
2.0,4,10.1,7.7,9.0,207
3.0,6,13.0,8.5,11.0,253
3.0,6,13.8,9.0,11.7,269
3.0,6,13.0,8.5,11.0,253
3.0,6,13.8,9.0,11.7,269
3.0,6,13.3,9.1,11.4,262
4.0,8,14.0,8.7,11.7,269
4.0,8,14.0,8.7,11.7,269
4.0,8,14.6,8.8,11.9,281
3.0,6,14.1,9.9,12.2,281
2.0,4,10.4,7.6,9.1,209
2.0,4,10.4,7.7,9.2,212
2.0,4,11.7,8.4,10.2,235
2.0,4,11.7,8.5,10.2,235
4.0,8,16.1,9.4,13.1,307
6.0,12,18.9,11.2,15.4,354
4.0,8,17.7,10.3,14.4,337
6.0,12,19.6,11.7,16.0,368
4.0,8,17.6,10.1,14.2,327
4.0,8,17.7,10.0,14.2,334
6.0,12,20.3,11.9,16.5,388
6.8,8,22.3,13.3,18.2,419
2.0,4,10.4,7.1,8.9,205
2.0,4,10.0,6.5,8.4,193
2.0,4,10.7,6.9,9.0,207
2.0,4,10.6,7.2,9.1,209
2.0,4,10.3,6.7,8.7,200
2.0,4,10.0,6.5,8.4,193
2.0,4,10.7,6.9,9.0,207
2.0,4,10.3,6.7,8.7,200
2.0,4,7.6,5.5,6.7,181
2.0,4,7.6,5.5,6.7,181
2.0,4,10.0,6.5,8.4,193
2.0,4,10.7,6.9,9.0,207
2.0,4,10.6,7.2,9.1,209
2.0,4,10.6,7.2,9.1,209
2.0,4,10.6,7.2,9.1,209
3.0,6,11.4,7.4,9.6,221
3.0,6,11.5,7.8,9.8,225
3.0,6,11.9,7.8,10.0,230
3.0,6,12.0,8.3,10.3,237
3.0,6,11.9,7.8,10.0,230
2.0,4,10.4,7.1,8.9,205
2.0,4,10.0,6.5,8.4,193
2.0,4,10.7,6.9,9.0,207
2.0,4,10.4,7.1,8.9,205
2.0,4,10.9,6.8,9.0,207
2.0,4,11.2,7.5,9.6,221
2.0,4,10.6,7.2,9.1,209
2.0,4,10.6,7.2,9.1,209
3.0,6,11.8,7.6,9.9,228
3.0,6,11.4,7.4,9.6,221
3.0,6,11.5,7.8,9.8,225
3.0,6,11.4,7.4,9.6,221
3.0,6,12.1,8.1,10.3,237
3.0,6,11.9,7.8,10.0,230
3.0,6,12.0,8.3,10.3,237
3.0,6,11.9,7.8,10.0,230
2.0,4,10.4,7.1,8.9,205
2.0,4,10.6,7.2,9.1,209
3.0,6,9.2,6.3,7.9,213
3.0,6,12.1,8.1,10.3,237
3.0,6,12.8,8.9,11.0,253
4.4,8,14.4,9.7,12.3,283
4.4,8,15.2,9.8,12.8,294
3.0,6,12.1,8.1,10.3,237
3.0,6,12.1,8.1,10.3,237
4.4,8,15.2,9.8,12.8,294
4.4,8,14.4,9.7,12.3,283
4.4,8,15.2,9.8,12.8,294
3.0,6,10.2,7.1,8.8,238
3.0,6,12.1,8.1,10.3,237
4.4,8,15.2,9.8,12.8,294
4.4,8,15.2,9.8,12.8,294
6.0,12,18.7,11.6,15.5,356
3.0,6,9.7,7.5,8.7,200
3.0,6,10.6,7.9,9.4,216
3.0,6,10.6,7.7,9.3,214
4.4,8,15.2,9.8,12.8,294
4.4,8,15.2,9.8,12.8,294
4.4,8,15.2,9.8,12.8,294
3.0,6,11.8,8.1,10.2,235
3.0,6,12.3,9.0,10.8,248
3.0,6,11.8,8.1,10.2,235
3.0,6,11.9,8.5,10.4,239
3.0,6,11.9,7.8,10.0,230
3.0,6,14.2,9.6,12.1,278
3.0,6,13.7,9.0,11.6,267
3.0,6,14.1,9.7,12.1,278
3.0,6,14.1,9.0,11.8,271
3.0,6,14.1,9.7,12.1,278
3.0,6,13.7,9.0,11.6,267
4.4,8,17.3,11.5,14.7,338
4.4,8,16.1,10.8,13.7,315
4.4,8,17.3,11.5,14.7,338
4.4,8,16.1,10.8,13.7,315
4.4,8,17.3,11.5,14.7,338
4.4,8,16.1,10.8,13.7,315
4.4,8,17.3,11.5,14.7,338
4.4,8,16.1,10.8,13.7,315
2.0,4,10.6,7.2,9.1,209
3.0,6,13.2,8.9,11.2,258
2.0,4,8.6,6.9,7.9,213
2.0,4,11.1,8.4,9.9,228
3.0,6,12.7,8.8,10.9,251
2.0,4,11.7,8.4,10.2,235
3.0,6,12.7,8.8,10.9,251
4.4,8,16.6,12.1,14.6,336
3.0,6,9.9,7.2,8.7,235
3.0,6,13.0,8.9,11.1,255
4.4,8,16.1,10.9,13.8,317
4.4,8,16.6,12.1,14.6,336
3.0,6,13.0,8.9,11.1,255
4.4,8,16.1,10.9,13.8,317
2.0,4,10.7,7.1,9.1,209
2.0,4,10.7,6.9,9.0,207
3.0,6,13.7,10.0,12.1,278
3.0,6,12.7,9.0,11.0,253
3.0,6,13.7,10.0,12.1,278
3.6,6,14.2,9.9,12.3,283
3.6,6,14.6,10.2,12.6,290
1.4,4,9.5,7.2,8.5,196
1.4,4,10.2,8.0,9.2,212
3.6,6,13.7,8.6,11.4,262
3.6,6,18.7,12.4,15.8,253
3.6,6,13.9,9.1,11.7,269
3.6,6,18.6,12.6,15.9,254
2.4,4,9.6,6.5,8.2,189
2.0,4,11.4,7.9,9.8,225
2.0,4,11.6,7.6,9.8,225
2.0,4,12.4,8.7,10.7,246
2.4,4,9.6,6.5,8.2,189
2.0,4,11.4,7.9,9.8,225
2.0,4,11.6,7.6,9.8,225
2.4,4,11.1,7.4,9.4,216
2.0,4,11.1,7.9,9.7,223
2.0,4,12.2,7.9,10.3,237
2.5,4,11.1,7.2,9.3,214
3.6,6,12.8,8.4,10.8,248
2.0,4,11.5,8.5,10.2,235
3.6,6,12.8,8.9,11.0,253
2.0,4,11.5,7.9,9.9,228
3.6,6,12.8,8.2,10.7,246
2.0,4,12.3,8.5,10.6,244
3.6,6,12.8,8.9,11.0,253
3.6,6,15.1,9.9,12.7,292
6.2,8,16.2,11.4,14.0,322
6.2,8,15.9,11.1,13.8,317
6.2,8,16.8,11.7,14.5,334
6.2,8,16.4,11.7,14.3,329
3.6,6,14.2,9.8,12.3,283
3.6,6,14.8,10.4,12.8,294
3.6,6,13.6,8.6,11.3,260
3.6,6,13.7,8.9,11.6,267
3.6,6,14.8,9.9,12.6,290
3.6,6,13.3,8.8,11.3,260
3.6,6,14.0,8.4,11.5,265
6.2,8,15.3,9.8,12.8,294
6.2,8,15.0,9.9,12.7,292
3.6,6,12.6,7.9,10.5,242
6.2,8,18.1,12.3,15.5,357
6.2,8,19.9,13.0,16.8,386
6.2,8,16.6,12.4,14.7,338
2.0,4,9.7,9.0,9.4,216
2.5,4,11.9,8.8,10.5,242
2.5,4,12.2,9.1,10.8,248
3.6,6,13.0,9.2,11.3,260
2.5,4,12.7,9.5,11.3,260
3.6,6,13.5,9.8,11.8,271
6.2,8,14.6,8.1,11.7,269
6.2,8,13.7,8.2,11.2,258
6.2,8,17.7,10.2,14.3,329
6.2,8,15.7,10.6,13.4,308
1.4,4,9.1,6.3,7.8,179
1.4,4,9.0,6.2,7.8,179
1.8,4,10.5,6.8,8.8,202
1.8,4,9.4,6.6,8.1,186
2.0,4,8.7,5.1,7.1,192
1.4,4,9.0,6.1,7.7,177
1.4,4,8.4,5.6,7.1,163
2.4,4,10.5,7.3,9.1,209
2.4,4,10.5,7.3,9.1,209
2.4,4,15.6,10.8,13.4,214
3.6,6,14.2,9.5,12.1,278
2.4,4,11.5,8.2,10.0,230
2.4,4,11.5,8.2,10.0,230
2.4,4,16.3,11.6,14.2,227
3.6,6,14.8,9.9,12.6,290
4.8,8,21.0,14.2,18.0,414
6.0,8,22.0,14.9,18.8,432
6.0,8,22.0,14.9,18.8,432
6.0,8,30.3,20.5,25.9,414
4.8,8,21.3,14.3,18.1,416
6.0,8,22.2,15.1,19.0,437
6.0,8,22.2,15.1,19.0,437
6.0,8,30.6,20.6,26.1,418
2.5,4,10.6,7.5,9.2,212
3.6,6,12.5,8.2,10.6,244
3.6,6,17.0,11.5,14.5,232
2.0,4,11.4,7.9,9.8,225
2.5,4,9.3,6.4,8.0,184
4.3,6,13.4,9.9,11.9,274
4.3,6,19.3,14.3,17.1,274
5.3,8,14.6,10.3,12.7,292
5.3,8,19.9,13.8,17.2,275
6.2,8,16.1,11.4,14.0,322
4.3,6,14.1,10.6,12.5,288
4.3,6,20.3,15.2,18.0,288
5.3,8,14.9,10.7,13.0,299
5.3,8,20.2,14.3,17.5,280
6.2,8,16.3,11.6,14.2,327
1.4,4,9.0,6.8,8.0,184
1.4,4,8.5,6.2,7.5,173
1.8,4,9.6,6.7,8.3,191
1.8,4,9.0,6.8,8.0,184
1.4,4,9.4,7.0,8.3,191
1.4,4,8.9,6.9,8.0,184
1.4,4,9.0,6.8,8.0,184
1.4,4,8.5,6.2,7.5,173
1.8,4,9.6,6.7,8.3,191
1.8,4,9.0,6.8,8.0,184
1.4,4,9.4,7.0,8.3,191
1.4,4,8.9,6.9,8.0,184
1.2,4,7.7,6.1,7.0,161
1.2,4,7.5,6.0,6.8,156
5.3,8,14.9,10.1,12.7,292
5.3,8,20.2,13.6,17.2,275
5.3,8,15.4,10.8,13.3,306
5.3,8,22.1,15.4,19.1,306
5.3,8,14.9,10.1,12.7,292
5.3,8,20.2,13.6,17.2,275
5.3,8,15.1,10.4,13.0,299
5.3,8,20.5,14.0,17.6,282
3.6,6,14.2,9.9,12.3,283
3.6,6,14.6,10.2,12.6,290
1.4,4,9.2,7.0,8.2,189
1.4,4,9.1,6.9,8.1,186
1.4,4,9.7,7.6,8.7,200
2.4,4,10.2,6.4,8.5,196
2.4,4,10.2,6.4,8.5,196
2.4,4,13.6,8.5,11.3,181
3.6,6,12.4,7.5,10.2,235
3.6,6,12.4,7.5,10.2,235
3.6,6,16.5,10.1,13.6,218
3.6,6,12.8,8.1,10.7,246
3.6,6,12.8,8.1,10.7,246
3.6,6,16.9,10.8,14.1,226
3.6,6,12.4,7.7,10.3,237
3.6,6,12.4,7.7,10.3,237
3.6,6,16.8,10.3,13.9,222
5.7,8,14.8,9.3,12.3,283
3.6,6,12.8,8.6,10.9,251
